"死亡年週","肺炎及流感死亡人數","四週移動平均"
"202201",479,416
"202202",417,416.5
"202203",411,420
"202204",424,432.75
"202205",406,414.5
"202206",463,426
"202207",429,430.5
"202208",492,447.5
"202209",449,458.25
"202210",444,453.5
"202211",404,447.25
"202212",392,422.25
"202213",406,411.5
"202214",390,398
"202215",419,401.75
"202216",409,406
"202217",,
"202218",,
"202219",,
"202220",,
"202221",,
"202222",,
"202223",,
"202224",,
"202225",,
"202226",,
"202227",,
"202228",,
"202229",,
"202230",,
"202231",,
"202232",,
"202233",,
"202234",,
"202235",,
"202236",,
"202237",,
"202238",,
"202239",,
"202240",,
"202241",,
"202242",,
"202243",,
"202244",,
"202245",,
"202246",,
"202247",,
"202248",,
"202249",,
"202250",,
"202251",,
"202252",,
